carga, tipo.vetor, tempo
1000000,random,215
1000000,random,217
1000000,random,210
1000000,random,210
1000000,random,207
1000000,random,208
1000000,random,208
1000000,random,211
1000000,random,211
1000000,random,202
1000000,random,207
1000000,random,219
1000000,random,208
1000000,random,209
1000000,random,209
1000000,random,210
1000000,random,205
1000000,random,209
1000000,random,210
1000000,random,205
1000000,random,210
1000000,random,202
1000000,random,210
1000000,random,206
1000000,random,206
1000000,random,212
1000000,random,209
1000000,random,209
1000000,random,209
1000000,random,209
1000000,ordenado,30
1000000,ordenado,29
1000000,ordenado,27
1000000,ordenado,27
1000000,ordenado,28
1000000,ordenado,28
1000000,ordenado,27
1000000,ordenado,28
1000000,ordenado,27
1000000,ordenado,27
1000000,ordenado,28
1000000,ordenado,27
1000000,ordenado,28
1000000,ordenado,28
1000000,ordenado,27
1000000,ordenado,29
1000000,ordenado,28
1000000,ordenado,29
1000000,ordenado,27
1000000,ordenado,27
1000000,ordenado,28
1000000,ordenado,27
1000000,ordenado,27
1000000,ordenado,28
1000000,ordenado,28
1000000,ordenado,28
1000000,ordenado,33
1000000,ordenado,29
1000000,ordenado,36
1000000,ordenado,28
1000000,inverso,38
1000000,inverso,38
1000000,inverso,36
1000000,inverso,38
1000000,inverso,40
1000000,inverso,38
1000000,inverso,36
1000000,inverso,36
1000000,inverso,37
1000000,inverso,36
1000000,inverso,36
1000000,inverso,39
1000000,inverso,36
1000000,inverso,36
1000000,inverso,37
1000000,inverso,36
1000000,inverso,36
1000000,inverso,37
1000000,inverso,36
1000000,inverso,36
1000000,inverso,36
1000000,inverso,36
1000000,inverso,36
1000000,inverso,36
1000000,inverso,36
1000000,inverso,36
1000000,inverso,37
1000000,inverso,36
1000000,inverso,37
1000000,inverso,37
5000000,random,1353
5000000,random,1332
5000000,random,1367
5000000,random,1313
5000000,random,1369
5000000,random,1354
5000000,random,1315
5000000,random,1360
5000000,random,1385
5000000,random,1341
5000000,random,1345
5000000,random,1350
5000000,random,1386
5000000,random,1327
5000000,random,1335
5000000,random,1395
5000000,random,1360
5000000,random,1313
5000000,random,1375
5000000,random,1358
5000000,random,1321
5000000,random,1337
5000000,random,1323
5000000,random,1367
5000000,random,1337
5000000,random,1357
5000000,random,1362
5000000,random,1347
5000000,random,1328
5000000,random,1330
5000000,ordenado,174
5000000,ordenado,179
5000000,ordenado,166
5000000,ordenado,166
5000000,ordenado,167
5000000,ordenado,170
5000000,ordenado,167
5000000,ordenado,170
5000000,ordenado,180
5000000,ordenado,180
5000000,ordenado,166
5000000,ordenado,166
5000000,ordenado,171
5000000,ordenado,165
5000000,ordenado,165
5000000,ordenado,166
5000000,ordenado,164
5000000,ordenado,165
5000000,ordenado,167
5000000,ordenado,164
5000000,ordenado,173
5000000,ordenado,175
5000000,ordenado,176
5000000,ordenado,172
5000000,ordenado,169
5000000,ordenado,169
5000000,ordenado,179
5000000,ordenado,223
5000000,ordenado,168
5000000,ordenado,178
5000000,inverso,215
5000000,inverso,210
5000000,inverso,210
5000000,inverso,218
5000000,inverso,209
5000000,inverso,209
5000000,inverso,210
5000000,inverso,209
5000000,inverso,211
5000000,inverso,210
5000000,inverso,219
5000000,inverso,209
5000000,inverso,215
5000000,inverso,213
5000000,inverso,210
5000000,inverso,214
5000000,inverso,211
5000000,inverso,211
5000000,inverso,214
5000000,inverso,212
5000000,inverso,214
5000000,inverso,212
5000000,inverso,211
5000000,inverso,211
5000000,inverso,214
5000000,inverso,212
5000000,inverso,214
5000000,inverso,217
5000000,inverso,215
5000000,inverso,215
10000000,random,2988
10000000,random,2883
10000000,random,2900
10000000,random,2953
10000000,random,2931
10000000,random,2921
10000000,random,2955
10000000,random,2901
10000000,random,3024
10000000,random,2869
10000000,random,2865
10000000,random,2951
10000000,random,2897
10000000,random,2923
10000000,random,2893
10000000,random,2941
10000000,random,2860
10000000,random,2946
10000000,random,2883
10000000,random,2940
10000000,random,2849
10000000,random,2868
10000000,random,3104
10000000,random,2875
10000000,random,2994
10000000,random,2926
10000000,random,2914
10000000,random,2959
10000000,random,2989
10000000,random,2904
10000000,ordenado,353
10000000,ordenado,351
10000000,ordenado,363
10000000,ordenado,343
10000000,ordenado,357
10000000,ordenado,348
10000000,ordenado,361
10000000,ordenado,344
10000000,ordenado,358
10000000,ordenado,357
10000000,ordenado,348
10000000,ordenado,346
10000000,ordenado,350
10000000,ordenado,345
10000000,ordenado,341
10000000,ordenado,345
10000000,ordenado,343
10000000,ordenado,340
10000000,ordenado,343
10000000,ordenado,342
10000000,ordenado,338
10000000,ordenado,343
10000000,ordenado,341
10000000,ordenado,341
10000000,ordenado,341
10000000,ordenado,343
10000000,ordenado,342
10000000,ordenado,338
10000000,ordenado,345
10000000,ordenado,340
10000000,inverso,422
10000000,inverso,421
10000000,inverso,426
10000000,inverso,422
10000000,inverso,421
10000000,inverso,421
10000000,inverso,421
10000000,inverso,422
10000000,inverso,422
10000000,inverso,429
10000000,inverso,424
10000000,inverso,424
10000000,inverso,422
10000000,inverso,439
10000000,inverso,435
10000000,inverso,431
10000000,inverso,424
10000000,inverso,425
10000000,inverso,424
10000000,inverso,421
10000000,inverso,424
10000000,inverso,423
10000000,inverso,422
10000000,inverso,420
10000000,inverso,423
10000000,inverso,421
10000000,inverso,430
10000000,inverso,426
10000000,inverso,423
10000000,inverso,421
